,TOTAL EXAMS,ART HISTORY,BIOLOGY,CALCULUS AB,CALCULUS BC,CHEMISTRY,CHINESE LANG. & CULTURE,COMPUTER SCIENCE A,ECONOMICS: MACRO,ECONOMICS: MICRO,ENGLISH LANG &COMPOSITION,ENGLISH LIT &COMPOSITION,ENVIRONMENTAL SCIENCE,EUROPEAN HISTORY,FRENCH LANG. & CULTURE,GERMAN LANG. & CULTURE,GOVERNMENT & POLITICS COMP.,GOVERNMENT & POLITICS U.S.,HUMAN GEOGRAPHY,ITALIAN LANG. & CULTURE,JAPANESE LANG. & CULTURE,LATIN,MUSIC THEORY,PHYSICS B,PHYSICS C: ELEC. & MAGNET.,PHYSICS C: MECHANICS,PSYCHOLOGY,SPANISH LANGUAGE,SPANISH LIT. & CULTURE,STATISTICS,STUDIO ART: 2-D DESIGN,STUDIO ART: 3-D DESIGN,STUDIO ART: DRAWING,US HISTORY,WORLD HISTORY
Females,4147374,28736,230828,260536,76616,123398,8822,10970,87770,47774,579568,472044,127976,114152,25314,4374,18560,264298,123864,2328,2090,6604,15552,57848,7930,20574,292780,165874,23480,167060,35338,5722,24196,467590,246808
Males,3502008,15586,164328,280906,113678,141140,7334,48140,113222,69232,358448,284430,106126,101886,11846,4740,19950,244848,102016,1376,1620,6680,20202,109664,26778,58830,172396,101130,12470,160668,12780,2450,7702,411514,207892
